マニフェストID,登録日時,更新日時,x-axis,y-axis,マニフェスト種別,政治家名,政治家名カナ表記,対象の都道府県,対象の市区町村または都道府県,対象の選挙区,政治家を志した理由,地域のありたい姿,解決したい課題,重要政策1政策分野1,重要政策1政策分野2,重要政策1政策分野3,解決するための重要政策1説明,重要政策2政策分野1,重要政策2政策分野2,重要政策2政策分野3,解決するための重要政策2説明,重要政策3政策分野1,重要政策3政策分野2,重要政策3政策分野3,解決するための重要政策3説明,政策分野注力度1社会保障,政策分野注力度2産業政策,政策分野注力度3社会資本整備,政策分野注力度4教育・子育て,政策分野注力度5農林漁業,政策分野注力度6税財政・財政再建,政策分野注力度7労働,政策分野注力度8環境・エネルギー,政策分野注力度9行政・議会改革,政策分野注力度10安全・防災・震災復興,検証,オープンデータ化（報道等の利活用）に関する許諾,政策の詳細へのURL
52,2015年3月26日 19時24分38秒,,21.0,2.3,市議会議員マニフェスト,渡辺あつ子,ワタナベアツコ,神奈川県,川崎市宮前区,川崎市宮前区,参加型政治を広げる,市民が自治する地域、地域のことはそこに暮らす市民が決める,縮小社会に向かうなか、エネルギー問題や少子超高齢社会における課題,子育て支援,介護支援,雇用創出,多様な働き方に対して子育てと介護の社会化を進め、地域に必要なサービスは市民がつくりだす。,再生可能エネルギー導入,省エネルギー政策,原発対策,原発に頼らないエネルギー政策を提案する,防災対策,食の安全,地域コミュニティづくり,市民がつくる安心安全,15,5,5,15,5,10,10,15,10,10,検証する,許可する,ｈｔｔｐ：//watanabe.kanagawanet.jp
51,2015年3月26日 19時22分41秒,,22.3,-11.4,市議会議員マニフェスト,やなせ吉助,ヤナセキチスケ,神奈川県,川崎市,高津区,私は、主に大手メーカをコンサルタントの立場で支援していました。各民間企業が血を流すような努力する一方で、そのベースとなる環境の向上が見られないのが現状です。そこには、未だ特定の人だけ（いや自分自身）の権益を守り続ける政治家の姿があり、その問題を自ら直接打破するために、政治の道に進もうと考えました。,限られた税収の中で、住民自ら最も適してるサービスを、多彩なメニューの中から選択できる地域,将来にわたり住みやすいまちづくりムダや既得権を排除した行財政改革税収増を図る地域経済の活性化議員活動の透明性を高め、自ら身を切る改革,行政改革,,,医療、福祉、介護等の社会保障の充実を図り、セーフティーネットを確立したまちづくりを推進します。100点を取れるまで待つのではなく、受益者負担もお願いしながら、できることから速やかに実行、スピード重視の行政サービスを実行します。,行政改革,,,様々な事業について、客観的な視点から定期的に財政のチェックを行うことで不採算事業を廃止し、市民のニーズが高い事業に予算をあてていきます。将来世代に借金を押し付けないためにも、しがらみのない立場で、この「あたりまえ」に切り込みます。,景気対策,,,若い人、女性、シニアの方々も、働きたい人は働ける場の提供に努めます。また、川崎市の豊かな商工業環境を活かした地域基幹産業の創生と共に、シニアの方や様々な方々の創業を推進します。これらを、国・県と連携し一気通貫の実効性の伴う有効な政策を実行していきます。,10,20,0,20,0,20,10,0,20,0,検証する,許可する,http://www.yanase-k.com
47,2015年3月24日 12時29分19秒,,25.2,-4.2,市議会議員マニフェスト,ためや　義隆,タメヤ　ヨシタカ,神奈川県,川崎市,川崎区,議員秘書として活動していた際、多くの方々から相談をうけました。そんな中で、もし自分にできる事があるのなら、地域のために力になりたい、また困難な状況にある若者や児童生徒の力になりたい、という強い思いが、志の原点です。,地域の方々が、自然なつながりをもてる街づくり。また区の権限を強化し、地域の事は地域で決める住民自治を推進する。また特に川崎区は歴史的に工業の街。しかし文化のない街になってしまったと感じます。心育む文化溢れるまちづくりを目指します。,・困難な状況にある若者、児童生徒への支援（不登校・ひきこもり対策）・文化ある、心育むまちづくりの推進・ICTを活用した市民サービスの拡充,教育政策,子育て支援,,川崎区では中学生の痛ましい事件がありました。実際、不登校児童生徒数が市内で一番多い地域。だからこそ、地域課題としてとらえ、スクールカウンセラー、ソーシャルワーカーの柔軟な配置を推進する事。問題のあると思われる地域・学校に手厚く配置。そして児童生徒の居場所づくりの強化。不登校を未然に防ぐケアの拡充。,芸術・文化振興,観光振興,スポーツ振興,川崎市には文化歴史が少ない、という声があるが、埋もれた地域資源（日本初のサーキット跡地など）を光らせ、シティプロモーションと地域愛を育む施策を行う。また「音楽のまち」と川崎は謳っているが、市民が文化に触れる施設、また活動を行う施設が少ない。地域からタレント（＝才能）発掘育成する取組みを推進。,情報公開・広報広聴,行政改革,地域コミュニティづくり,オープンデータの活用により、自治体アプリケーションの活用も始まっている。市民サービスの拡充にICTは有効であり、これを推進することで、市民と行政の新しいカタチができると考えます。（FIX MY STREETのように住民参加型の住民自治の推進など）,10,10,10,20,0,10,10,10,10,10,検証する,許可する,http://yoshitame.net/policy/
46,2015年3月24日 11時23分15秒,,27.8,8.4,市議会議員マニフェスト,いたばし洋一,イタバシヨウイチ,神奈川県,川崎市,幸区,子供の頃から社会に役立つ仕事をしたいと思っていました。地元の川崎市役所に就職し、行政の立場から川崎市政に取り組んできましたが、定年退職を目前にし、議員の立場からまちづくりに取組みたいと志を固めました。,「幸・分かちあいのまちづくり」をスローガンとしています。市民、事業者、専門機関、行政などのステークホルダーが知恵と力を出し合う協働のまちづくりを目指しています。その成果を分かちあい、喜びや悲しみを分かちあうまちを築いていきたいと思います。,子どもの教育環境（貧困、遊び、学び）を、子どもの権利の視点から改善していきたいと思います。原発に依存しないエネルギーの地産地消を進めます。地域包括ケアシステムの構築にあたり、市民、専門機関、行政に加えて、事業者の力を活かすようにします。,防災対策,地域コミュニティづくり,市民参画・協働,災害に強いまちづくり。３．１１大震災の教訓から、地域防災計画が策定されているが、自助・共助、避難所としての学校への負担が地域の重荷になっています。災害時要援護、帰宅困難者などの新たな課題も生まれています。自助・共助がしやすいような公的支援を見直す必要があります。,鉄道整備,地域コミュニティづくり,市民参画・協働,南武線高架事業に合わせ、新たな地域の魅力づくりを進めていきます。南武線沿線の駅には大型マンションが次々に建設されています。駅周辺の整備などを、新たな住民とかねてから住んでいる人たちの和を進めながら、事業者も交え、協議する場をつくっていきます。,情報公開・広報広聴,地域コミュニティづくり,芸術・文化振興,地域メディアと連携し、地域の情報・行政情報を届けていきます。町内会、商店街、ＰＴＡ，市民活動団体などが魅力あるイベントを行っています。行政も様々なサービスを提供していますが、なかなか市民に情報が届きにくくなっています。地域メディアを活用し、広く情報が行きわたるようにします。,10,5,10,10,5,5,15,15,10,15,検証する,許可する,http:/y-itabashi.com
45,2015年3月24日 00時10分33秒,,27.2,-1.1,市議会議員マニフェスト,佐野よしあき,サノヨシアキ,神奈川県,川崎市,川崎区,1995年阪神大震災でのボランティア活動で、被災者救済が遅れたこと。合わせて、地域で映画「月光の夏」の上映運動を通じて、鹿児島の知覧に行って、特攻隊の真実を知り、国民主権と言いながら、国民がいつも国家によって犠牲になる現状に、自分として何かできることはないかと考え、政治家を志した。,高齢化率が高く、貧困世帯の多い地域であり、いろいろな国籍の人たちが集うまちである。かつて「愛泉ホーム」というセツルメント活動の拠点があった地域として、お互いを理解し、助け合える福祉の心がはぐくまれてきた。良き伝統である「福祉の心」をまちの新しい文化として根付かせたい。,高齢化と同時に、ものづくりを支える中小零細企業の減少、商店街の衰退によって、地域の疲弊が著しい。臨海部再編による労働者の非正規化により、貧困化も進んでいる。高齢化対策と雇用環境の改善と地域経済の活性化を解決したい。,防災対策,雇用創出,中小企業政策,企業再編著しい臨海部石油コンビナートの安全・防災対策の強化と再生可能エネルギーへの投資によって、中小企業対策と同時に雇用対策を検討する。財源として、年間4000億円近い揮発油税の活用等を検討する。,医療政策,介護支援,地域コミュニティづくり,高齢者、障害者一人一人の可能性を引き出すための医療と介護、福祉の連携。誰もが安心して暮らせる、地域商店街と行政、介護・医療・福祉事業所との響働のまちづくり,教育政策,子育て支援,地域コミュニティづくり,中一殺害事件を通して、いわゆる中一ギャップの問題が明らかになった。少なくとも、神奈川県以外の京都から東側の２５都道県で実施している中学校1年生からの少人数学級を実現する。教職員を増やし、教育予算を大幅に増やして、一人一人が大切にされる教育環境を整備する。,10,10,5,20,5,5,5,10,5,25,検証する,許可する,
44,2015年3月23日 20時22分46秒,2015年3月23日 20時24分51秒,30.6,5.9,市議会議員マニフェスト,飯塚正良,イイヅカマサヨシ,神奈川県,川崎市,川崎区,1970年慶応義塾大学在学中、韓国人青年と知り合いました。日立に採用が内定していた朴鐘碩さんは記載した通名が虚偽にあたるとして採用を取り消されました。私も支援に関わり、裁判は勝利し、応援していただいた在日韓国人の多住地区である川崎桜本に住み、交流を今日まで継続してきました。これが政治家を志す理由です。,5年前、工場の移転に伴い大型住宅建設計画が持ち上がりました。準工業地域のため高さ制限がありません。隣地は学校でしたので、PTAの皆さんから請願が出され、結果は法律の範囲ということで階数を少なくすることで決着が図られました。乱開発に歯止めをかけられなかったことに無力さを感じました。快適な環境をめざします。,市議会副議長就任の際、掲げた課題は議会改革でした。目指した16項目のうち8割を達成し、特に議員提案による条例づくりに向け、超党派で構成する政策検討会の設置、パブリックコメントの実施により「いじめ防止条例」「町内活性化条例」など2本の条例化を実現しました。今後共、会期の見直しなどに取組みます。,人権擁護・保護,その他,,川崎市は20年前に韓国の富川市と友好都市提携を結びました。契機は地元商店街同士の交流から始まりました。私も富川市名誉市民証を受証しました。全国に先がけて「外国人市民代表者会議」を設置し、「ヘイトスピーチ禁止を求める決議」を議決するなど人権に配慮した政策を進めています。人にやさしい街をめざします。,震災復興,その他,,都市間交流では東日本大震災をうけて復興道半ばである福島県南相馬市と“絆コンサート”を毎年開催し、今年も5月28日桜井市長を川崎にお招きする予定です。韓国富川市とは来年友好締結20周年を迎えます。南相馬・川崎・富川をつなぐ絆こそこれからのアジアの架橋となると確信しています。今後共都市間交流を推進します。,教育政策,防犯対策,,一人の少年の命が奪われました。SOSを発した声は大人には伝わりませんでした。原因を究明し、再びあやまちをくり返させないために学校―警察―地域の連携のしくみ作りにとり組みます。いのちを大切にする教育を確立します。さらに子供たちのSOSをうけとめるワンストップ式のコールセンターなどの機関を整備します。,10,10,10,10,0,10,10,10,10,20,検証する,許可する,
42,2015年3月23日 13時36分06秒,,30.2,3.0,市議会議員マニフェスト,粕谷　葉子,カスヤ　ヨウコ,神奈川県,川崎市,,小学生に体操をボランティアで教えていた所、皆様からの出馬要請を受け3秒で決断しました。その後、横浜市在住でしたが川崎市の議員から請われ、地域のことは地域で決定して公平な市政を行うべきと常々思っていましたので、何もない所から始めました。,こどもや高齢者、障がい者や動物の虐待のない地域で支えるまちづくりができている姿が望ましい。それが、防災力にも繋がることにもなります。そして、教育の2重行政が解消され教育権限が市に委譲される中で、人の痛みのわかるこどもたちの育成を行う活力強化が生まれることが必要です。,こどもの虐待に対する条例は超党派で制定できたので、今後は、高齢者・障がい者・動物に対する３条例制定をめざしたいと思います。高齢者の在宅医療に方針転換が図られた中で、意志・看護師不足を解消させ高度医療研究を臨海部で図ること。こどもは外へ出て遊びやスポーツで体力を養うシステムを構築する。,議会改革,,,虐待についての残りの3条例の制定を果たし、議員が市民のための条例制定を目指すこと。応援したからといって、市長のいうことに無条件に賛成では議会の役目は果たせない。発言もせず問題意識も持たないのではなく、チェック機能を果たし議員の意義が問われないよう市民の目線であたり前の市政を行うこと。,介護支援,,,国の方針転換による在宅医療を受け、各地域地域包括センターの充実により高齢者の健康と防災・災害における高齢者・障がい者の保護・支援を高める。地域住民の生きがいづくりと住民参加型の施策の展開。それが、雇用にも繋がる。,再生可能エネルギー導入,,,臨海部で行われている水力発電など再生可能エネルギーの確保。原子力に頼らない昔回帰宣言の発動など、１企業だけでなく、他企業で電力を賄えるシステムの構築を目指す。環境保護にも繋がるもの。市議会議員は、予算の権限がないので政策は出せるが、マニフェストと呼べるものを出せないのが残念。,20,10,5,15,1,4,10,15,10,10,検証する,許可する,http//www.yoko-ni-diving.com
40,2015年3月21日 18時46分11秒,,36.3,0.3,市議会議員マニフェスト,ほりぞえ健,ホリゾエケン,神奈川県,川崎市,高津区,社会をより良くすることに役立ちたいと考えたため。,一人残らずすべての市民が、生涯にわたって安心して住み続けることができるまち。問題を先送りすることで未来を食い潰す社会から、厳しい現実を直視し、未来に投資する社会への転換。,主権者である地域住民が、当事者としてまちづくりに関わることができる地域社会の実現。,行政改革,議会改革,市民参画・協働,総合区制度の導入と行政区を単位とした市議会常任委員会の設置。すでに人口規模は都道府県と同じ規模になっているにもかかわらず、基本的には全市一律の政策運営が行われている。少なくとも行政区を単位とした政策立案・政策調整機能を抜本的に強化し、地域における課題解決の拠点として区役所を機能させる。,市民参画・協働,地域コミュニティづくり,行政改革,地域社会を地域づくりのパートナーとして位置づけ、地域の担い手として役立っていただくための仕組みづくり。,情報公開・広報広聴,行政改革,議会改革,予算情報の公開と共有。予算編成過程（各セクションからの予算要求、財政セクションでの査定、首長査定の各段階で）をリアルタイムで原則公開する。,10,5,5,10,5,5,10,5,35,10,検証する,許可する,http://www.horizoe.com/
37,2015年3月21日 13時25分05秒,2015年4月2日 20時22分04秒,36.5,-11.2,市議会議員マニフェスト,小野寺よしあき,オノデラヨシアキ,神奈川県,川崎市（中原区）,川崎市議会議員,①中小企業診断士の資格を取得した際に経済を考える上で政治は非常に重要であると再認識したこと、②維新政治塾で研鑽させてもらった中、現状と将来の予測をデータで示され大きな危機感を持った、などから、自分が将来を担う若者・子どもたちに今できることは診断士の知識を活用して議員になるべきだと思ったためです。,今までの成長期は終わり、少子高齢化という環境変化を見据え、①限られた予算の中で、②財政を再構築、再配分を行い、③地域の事は地域で考える地域主権の社会を確立する必要があります。そのため限られた人達だけのために動く議員など、しがらみを撤廃し、地域コミュニティを全体最適の観点で推進すべきであると考えます。,歳入対策（中小企業支援、経済政策）や歳費配分（子育て教育支援、福祉施策強化、安心安全のまちづくり支援、防災対策強化）など、やるべき事はたくさんありますがこれらを行うためには、まず危機的状況にある川崎市の財政を再構築しなければなりません。大変地味ではありますが、民間で事業を再生する手順に則るべきです。,地方分権,,,財政を立て直すには“痛み”を伴います。税金など市民だけに負担を強いるのではなく、まずは自らが“身を切る”必要があります。議員報酬の削減！政務活動費の返上！同じ事を言う議員が何人もいましたが、規則に阻まれて、などの理由で実行していません。私は１期で結果が出せなければ政治を辞める覚悟で取り組みます。,財政再建,,,"今後10年で川崎市年間予算1兆3,000億円の約１割にあたる1,600億円が赤字になる見込みである川崎市財政。まずは①職員など関わる人たちの意識改革から②単にコストカットを叫ぶのではなく“使うものは使う、削るものは削る”といった、将来の投資面含めた再構築を、③自らが現場に入り込んで行う、ことを実施します。",地域コミュニティづくり,中心市街地活性化,防犯対策,神奈川県で唯一の関東経済産業局商店街チーフアドバイザーとして、“地域コミュニティの担い手”である商店街を盛り上げるために事務作業から行います。商店街に加え町内会自治体・各学校など地域住民を巻き込むイベントなどを実施するとともに、防犯面からもまずは「あいさつする街」を自ら実施、浸透させたいと思います。,10,10,0,20,0,30,5,0,5,20,検証する,許可する,http://www.onodera-yoshiaki.com/
31,2015年3月18日 16時14分53秒,,41.1,-20.0,市議会議員マニフェスト,小田理恵子,オダリエコ,神奈川県,川崎市幸区,,会社員時代に初めて自治体のプロジェクトに従事しその実態に触れたことがきっかけです。仕事のやり方、お金の使い方など民間企業からしたら考えられないほど「ぬるい」世界に驚くともに、少子高齢化が進展する中で行政のありかたそのものも変えていく必要があると痛感したため、それまでの仕事を辞め市議を目指しました。,地域のことは、そこに住む住民自身が決める「住民自治」を推進することが目標です。そのためには地域のあらゆる階層の人間が交流する場つくりと、行政や議員は住民同士を繋げるファシリテーター的な役割を担うことが必要となってくると考えています。,少子高齢化に伴い、社会保障関連の負担が増大しています。本当に必要なところで財源を投入するため行政サービスのゼロベースでの見直しが必要です。,行政改革,少子化対策,,■人口減少時代への備えと財源配分の見える化・最適化を行う行財政改革長期視点で高齢人口の増加・税収の減少を見据えた持続可能な行政基盤を構築するためゼロベースでの構造改革を実施します。改革の実現により生み出された財源を将来への備えと必要な行政サービスへと分配します。,教育政策,生活保護対策,,■公教育で確かな学力と体力を定着させる教育制度改革それに加え全ての学力の基本となる「生きる力」を醸成する情報学習を推進。さらに家庭の経済格差が学力格差とならないよう、総合的な子どもの貧困対策に取り組み居場所つくり・学習支援を推進します。,子育て支援,少子化対策,女性政策,■ライフスタイルに関わらず産み育て安い、子育て環境の整備預かり需要へ対応する保育所や一時保育、病児保育等への対応。核家族化が進む中で親を孤立させない妊娠期からのきめ細やかなサポートを実施。親が働き方や子育てのしかたを選べるような環境整備を進めます。,10,5,3,30,0,5,5,5,30,7,検証する,許可する,http://oda-rieko.jpn.org/seisaku.html
